Time (min),Radioactivity
0.542279,0.00257952
0.87572,0.0118118
1.58647,0.0720244
1.6773,0.0557673
2.29255,0.127804
2.69781,0.102676
4.15152,0.151057
7.21227,0.188334
10.7951,0.208979
13.1921,0.230748
19.805,0.259484
29.9589,0.268965
39.7789,0.268844
49.8054,0.259853
59.9542,0.264531
74.7351,0.261394
94.6868,0.249695
114.75,0.241689
