Time (min),Radioactivity
0,0
0.109548,0.000148516
0.298691,0.00678224
0.525577,1.92775
0.758556,1.67334
0.983377,0.633737
1.20795,0.574071
1.41743,0.53433
1.68309,0.439608
1.93004,0.424831
2.16371,0.390016
2.94535,0.315517
4.10129,0.256054
5.03703,0.216388
7.25848,0.146982
10.1033,0.13252
20.2575,0.0936519
30.1943,0.0743014
61.9289,0.0504708
94.431,0.0361575
121.351,0.0315659
