Time (min),Radioactivity
0.785275,0.0284385
1.55269,0.0398822
1.70952,0.0864317
2.3795,0.107852
2.61124,0.122997
4.47991,0.155486
7.64236,0.186851
13.2755,0.207471
19.8493,0.198893
30.0842,0.18288
40.202,0.158002
50.0038,0.140517
59.9189,0.128202
75.0045,0.106958
94.8471,0.0941517
114.694,0.0854098
