Time (min),Radioactivity
0,0
0.442863,0.616496
0.486474,3.16168
1.00796,1.41214
1.54542,1.14772
2.08348,0.954533
2.88813,0.660277
3.69647,0.524396
5.05024,0.456612
6.13068,0.371072
9.65332,0.28785
30.5404,0.147038
59.3099,0.105934
89.7121,0.0875994
120.658,0.0758443
