Time (min),Radioactivity
0,0
0.109078,2.40E-05
0.29713,0.0155879
0.541789,1.22594
0.776314,0.851522
0.996598,0.357324
1.20664,0.29623
1.43571,0.268253
1.6983,0.281038
1.95171,0.24286
2.17885,0.219961
2.96199,0.184377
4.14495,0.146253
5.01838,0.105542
7.2287,0.0954516
10.1741,0.0853551
20.1544,0.0524231
29.8851,0.0270544
61.6466,0.0450891
93.5508,0.0350134
120.013,0.0299868
